손님,label
안녕하세요.,start
여보세요.,start
거기 (shop) 가게인가요?,start
안녕하세요. 거기 (shop) 가게인가요?,start
여보세요. 거기 (shop) 가게인가요?,start
(shop) 가게 맞나요?,start
안녕하세요. (shop) 가게 맞나요?,start
"안녕하세요, 주문하려고 전화했는데요.",start
여보세요. 주문하려고 전화했는데요.,start
안녕하세요. 배달 주문하려고 하는데요.,start
여보세요. 배달 주문하려고 하는데요.,start
안녕하세요. 주문하려고요.,start_d
여보세요. 주문하려고요.,start_d
배달 주문하려고 하는데요.,start_d
안녕하세요. 배달 주문하려고 하는데요.,start_d
여보세요. 배달 주문하려고 하는데요.,start_d
배달 주문하려는데 가능한가요?,start_d
안녕하세요. 배달 주문하려는데 가능한가요?,start_d
여보세요. 배달 주문하려는데 가능한가요?,start_d
(main)로 하려고요.,order
(main)로 할게요.,order
(main)로 주문할게요.,order
(main)로 배달 해주세요.,order
어 (main)로 주문할게요.,order
어 (main)로 배달 해주세요.,order
(main)로 하려는데 가능할까요?,order
(main)가 배달 가능한가요?,order
(main)가 배달 가능할가요?,order
혹시 (main)가 있나요?,order
(main)가 있나요?,order
(main)로 할게요.,order
"(main)로 히려는데, 있을까요?",order
(main)가 있나요?,order
그럼 (main)가 있나요?,order
어떤 메뉴들이 있나요?,order
지금 가능한 메뉴는 무엇인가요?,order_sug
지금 가능한 메뉴는 무엇이 있나요?,order_sug
가능한 메뉴는 무엇이 있나요?,order_sug
어떤 메뉴가 인기있나요?,order_sug
추천 메뉴가 무엇인가요?,order_sug
추천 메뉴가 뭔가요?,order_sug
어떤 메뉴가 가장 인기 있나요?,order_sug
어떤 메뉴가 인기있나요?,order_sug
그렇다면 어떤 메뉴가 인기있나요?,order_sug
그렇다면 추천 메뉴가 무엇인가요?,order_sug
그렇다면 추천 메뉴가 뭔가요?,order_sug
그렇다면 어떤 메뉴가 가장 인기 있나요?,order_sug
그렇다면 어떤 메뉴가 인기있나요?,order_sug
그럼 어떤 메뉴가 인기있나요?,order_sug
그럼 추천 메뉴가 무엇인가요?,order_sug
그럼 어떤 메뉴가 인기있나요?,order_sug
그럼 추천 메뉴가 뭔가요?,order_sug
그럼 어떤 메뉴가 가장 인기 있나요?,order_sug
사이드 메뉴 변경가능한가요?,os_change
사이드 메뉴 (side)으로 변경가능한가요?,os_change
사이드메뉴 (side)으로 변경이 가능한가요?,os_change
세트메뉴에서 사이드메뉴 변경 가능한가요?,os_change
네 괜찮습니다.,surchar
아하 그렇군요.,surchar
그렇군요.,surchar
아니요. 없습니다.,order_ad
괜찮아요.,order_ad
괜찮습니다.,order_ad
없습니다.,order_ad
네. 더 없습니다.,order_ad
배달 시간은 얼마나 걸리나요?,delivery
배달은 얼마나 걸리나요?,delivery
배달이 오래 걸릴까요?,delivery
배달 시간이 어떻게 되나요?,delivery
"주소는 (add_input)이고, 번호는 (num_input)입니다.",address
"주소는 (add_input)이고, 번호는 (num_input)이에요.",address
"주소는 (add_input)이고, (num_input)이에요.",address
"(add_input)이고, 번호는 (num_input)이에요.",address
"(add_input)이고, (num_input)이에요.",address
얼마인가요?,price
총 얼마인가요?,price
그럼 총 얼마인가요?,price
전체 가격이 얼마인가요?,price
가격이 어떻게 되나요?,price
네. 얼마인가요?,price
네. 총 얼마인가요?,price
네. 그럼 총 얼마인가요?,price
네. 전체 가격이 얼마인가요?,price
네. 가격이 어떻게 되나요?,price
네 맞아요. 얼마인가요?,price
네 맞아요. 총 얼마인가요?,price
네 맞아요. 그럼 총 얼마인가요?,price
네 맞아요. 전체 가격이 얼마인가요?,price
네 맞아요. 가격이 어떻게 되나요?,price
맞아요. 얼마인가요?,price
맞아요. 총 얼마인가요?,price
맞아요. 그럼 총 얼마인가요?,price
맞아요. 전체 가격이 얼마인가요?,price
맞아요. 가격이 어떻게 되나요?,price
네 맞습니다. 얼마인가요?,price
네 맞습니다. 총 얼마인가요?,price
네 맞습니다. 그럼 총 얼마인가요?,price
네 맞습니다. 전체 가격이 얼마인가요?,price
네 맞습니다. 가격이 어떻게 되나요?,price
맞습니다. 얼마인가요?,price
맞습니다. 총 얼마인가요?,price
맞습니다. 그럼 총 얼마인가요?,price
맞습니다. 전체 가격이 얼마인가요?,price
맞습니다. 가격이 어떻게 되나요?,price
감사합니다.,final
네 감사합니다.,final
네 맞습니다. 감사합니다.,final
네. 알겠습니다.,final
