직원,label
(shop) 배달 주문 연습 상황입니다.,start
안녕하세요 (shop)집 입니다.,start
안녕하세요. (shop)집 입니다. 어떤 메뉴를 주문하시겠습니까?,start
네 (shop) 입니다. 어떤 메뉴로 하시겠어요?,start
네. 어떤 메뉴로 하시겠어요?,start
안녕하세요. 어떤 메뉴를 주문하시겠습니까?,start
안녕하세요. 어떤 메뉴로 하시겠어요?,start
네 안녕하세요. (shop) 입니다. ,start
네 안녕하세요. (shop) 입니다. 어떤 메뉴를 주문하시겠습니까?,start
안녕하세요. (shop)입니다. 어떤 메뉴를 주문하시겠습니까?,start
여보세요. (shop)입니다.
네 맞습니다. 어떤 메뉴를 주문하시겠습니까?,start
네 맞습니다.,start
네 맞습니다. 주문하시겠어요?,start
네 맞습니다. 어떤걸로 주문하시겠어요?,start
네. 어떤걸로 주문하시겠어요?,start
네. 주문하시겠어요?,start
네 맞습니다. 메뉴 어떤걸로 하시겠어요?,start
네. 메뉴 어떤걸로 하시겠어요?,start
네 맞습니다. 원하시는 메뉴 말해주세요.,start
네. 원하시는 메뉴 말해주세요.,start
네. 말씀해주세요.,start
네. 말해주세요.,start
네 안녕하세요. 어떤걸로 준비해드릴까요?,start
네 (shop) 입니다. 어떤걸로 준비해드릴까요?,start
안녕하세요 (shop) 입니다. 어떤걸로 준비해드릴까요?,start
네 주문해 주세요.,start
네 배달 가능합니다.,start_d
배달 가능합니다.,start_d
네 배달 가능합니다. 어떤걸로 주문하시겠어요?,start_d
네. 있습니다.,order
네 있습니다. 그걸로 배달해 드릴까요?,order
네. 그걸로 배달해 드릴까요?,order
네. 있습니다. 해당 메뉴로 준비해드릴까요?,order
네. 있습니다. 해당 메뉴로 배달해 드릴까요?,order
네. 해당 메뉴로 배달해 드릴까요?,order
있습니다. 그걸로 배달해 드릴까요?,order
있습니다. 해당 메뉴로 준비해드릴까요?,order
있습니다. 해당 메뉴로 배달해 드릴까요?,order
네 있습니다. 추가하실 메뉴가 더 있을까요?,order
있습니다. 추가하실 메뉴가 더 있을까요?,order
네. 혹시 추가할 메뉴가 있을까요?,order
있습니다. 혹시 추가할 메뉴가 있을까요?,order
네. (main) 있습니다.,order
네. (main) 있습니다. 해당 메뉴로 준비해드릴까요?,order
네. (main) 있습니다. 해당 메뉴로 배달해 드릴까요?,order
(main) 있습니다.,order
(main) 있습니다. 해당 메뉴로 준비해드릴까요?,order
(main) 있습니다. 해당 메뉴로 배달해 드릴까요?,order
(main)로 준비해드릴까요?,order
네. (main)로 준비해드릴까요?,order
있습니다. (main)로 준비해드릴까요?,order
(main) 있습니다. (main)로 준비해드릴까요?,order
죄송합니다. 지금 (main)가 품절이라 주문이 어렵습니다.,order
죄송합니다. 지금 (main)가 품절이라 주문이 어렵습니다. 대신 (main)는 어떠신가요?,order
지금 (main)가 품절이라 주문이 어렵습니다. 대신 (main)는 어떠신가요?,order
죄송합니다. 현재 재고가 다 떨어져 (main)가 없습니다. 다른 메뉴로 하시게어요?,order
죄송합니다. 현재 재고가 소진되어 (main)가 없습니다. 다른 메뉴로 하시겠어요?,order
재고가 소진되어 (main)가 없습니다. 다른 메뉴로 하시겠어요?,order
재고가 다 떨어져 (main)가 없습니다. 다른 메뉴로 하시겠어요?,order
"재고가 다 떨어져 (main)가 없는데, 다른 메뉴로 하시겠어요?",order
재고가 소진되어 (main)가 없습니다. 다른 메뉴로 주문해주세요.,order
재고가 다 떨어져 (main)가 없습니다. 다른 메뉴로 주문해주세요.,order
"재고가 다 떨어져 (main)가 없는데, 다른 메뉴로 주문해주세요.",order
재고가 소진되어 다른 메뉴로 주문해 주시겠어요?,order_sug
재고가 다 떨어져서 다른 메뉴로 주문해 주시겠어요?,order_sug
(main)가 가능합니다.,order_sug
(main)와 (main)가 가능합니다.,order_sug
(main)가 인기 있습니다.,order_sug
(main)와 (main)가 인기 있습니다.,order_sug
인기 메뉴로는 (main)가 있습니다.,order_sug
인기 메뉴로는 (main)와 (main)가 있습니다.,order_sug
추천 메뉴로는 (main)가 있습니다.,order_sug
추천 메뉴로는 (main)와 (main)가 있습니다.,order_sug
사이드메뉴 변경하시겠어요?,os_change
네 해당 메뉴로 변경 가능합니다.,os_change
(side)로 변경 가능합니다.,os_change
가능한 메뉴로는 (side)가 있습니다.,os_change
네 가능합니다. (side)메뉴로 변경 가능합니다.,os_change
네 가능합니다. 변경 가능한 메뉴로는 (side)가 있습니다.,os_change
추가요금 발생하는데 괜찮으실까요?,surchar
네 가능합니다. 그런데 추가요금 발생하는데 괜찮으신가요?,surchar
가능합니다. 그런데 추가요금 발생하는데 괜찮으신가요?,surchar
해당 메뉴로는 변경이 어려울 것 같습니다.,surchar
재고가 없어 변경이 어려울 것 같습니다.,surchar
재고가 없어 어려울 것 같습니다.,surchar
더 필요하신 메뉴는 없으신가요?,order_ad
추가하실 메뉴가 더 있을까요?,order_ad
추가 주문하실 메뉴가 있으신까요?,order_ad
추가 주문하실 메뉴가 있으실까요?,order_ad
더 추가하실 메뉴가 있을까요?,order_ad
혹시 더 추가하실 메뉴가 있으신가요?,order_ad
더 필요하신 메뉴는 없으신가요?,order_ad
더 필요하신 메뉴가 있으신가요?,order_ad
배달은 약 30분 정도 걸릴 것 같아요.,delivery
배달 시간은 약 30분 정도 걸릴 것 같아요.,delivery
약 30분 정도 걸릴 것 같습니다.,delivery
시간은 약 30분 정도 걸릴 것 같습니다.,delivery
한 30~40분 정도 걸릴 것 같습니다.,delivery
시간은 한 30~40분 정도 걸릴 것 같습니다.,delivery
배달은 약 30~45분 정도 걸릴 것 같아요.,delivery
약 40분 정도 걸릴 것 같습니다.,delivery
지금 배달이 조금 밀려서 50분 정도 걸릴 것 같습니다.,delivery
지금 배달이 조금 밀려서 50분 정도 걸릴 것 같아요.,delivery
배달은 약 45분 정도 소요될 예정입니다.,delivery
배달 시간은 약 45분 정도 소요될 예정입니다.,delivery
배달은 약 40분 정도 소요될 예정입니다.,delivery
배달 시간은 약 40분 정도 소요될 예정입니다.,delivery
그럼 주소와 번호를 알려주세요.,address
주소와 번호 알려주시겠어요?,address
그럼 주소와 번호를 알려주시겠어요?,address
주소와 번호가 어떻게 되실까요?,address
주소를 알려주시겠어요?,address
배달할 주소와 번호를 알려주세요.,address
총 (price)입니다.,price
가격은 (price)입니다.,price
전체 가격은 (price)입니다.,price
(price)입니다.,price
배달비 포함해서 전체 가격은 (price)입니다.,price
배달비 포함 총 (price)입니다.,price
네. 총 (price)입니다.,price
네. 가격은 (price)입니다.,price
네. 전체 가격은 (price)입니다.,price
네. (price)입니다.,price
네. 배달비 포함해서 전체 가격은 (price)입니다.,price
네. 배달비 포함 총 (price)입니다.,price
"주문 확인하겠습니다. (main)이고, 주소는 (address) 번호는 (num_input) 맞을까요?",check
"주문 확인하겠습니다. (side)로 변경된 (main)이고, 주소는 (address) 번호는 (num_input) 맞을까요?",check
네. 주문해주셔서 감사합니다.,final
네 감사합니다.,final
네에,final
네,final
